"","target_id","D0_PF_1","D0_PF_2","D7_PF_1","D7_PF_2","D0_SAG_1","D0_SAG_2","D7_SAG_1","D7_SAG_2","Trend"
"1286","Klf10",1521.658,1557.373,748.4582,815.0824,1595.765362,1598.232023,659.6920819,662.8897955,"DBT"
"1287","Nol9",1823.812,1771.665,961.7809,999.2429,1525.369974,1513.672616,968.0355694,992.6205574,"DBT"
"1289","Lrrc8d",1154.287,1271.593,477.303,542.1991,1370.828996,1293.726953,379.2483706,358.0073523,"DBT"
"1291","Trove2",1567.923,1429.125,815.3981,756.7453,1386.073031,1396.835291,1071.603404,937.3540755,"DBT"
"1292","Arxes2",3172.250275,3299.978999,876.6566471,674.2995569,3673.538069,3634.457592,1356.319836,1156.005236,"DBT"
"1293","Pidd1",789.4318,761.1643,290.3714,317.6775,776.6910135,762.9448579,259.8127482,260.1637421,"DBT"
"1299","Sh3rf1",948.1828,966.4288,447.6389,451.1154,773.9732805,765.7403516,413.6343328,412.1435466,"DBT"
"1300","Ddit4",2554.372902,2418.001363,1348.583605,1458.946177,2167.426561,2372.852286,1572.143769,1642.446691,"DBT"
"1305","Aldh18a1",1161.729355,1181.801847,611.7826941,548.7133937,1066.322947,1086.025492,799.9896045,785.3287943,"DBT"
"1309","Loxl4",659.3098,674.1265,167.8878,212.0452,790.1009908,692.3148621,227.1561384,245.9179911,"DBT"
"1311","Mapk6",1290.29,1253.963,690.1321,659.8689,1155.03916,1124.577853,755.971212,763.2585147,"DBT"
"1315","Crip2",1115.256997,1248.807515,468.8614252,525.7884166,1515.50782,1539.128003,823.4787757,899.5274324,"DBT"
"1317","Clcf1",725.611535,768.8829851,246.9784537,244.7762652,753.8822246,711.1693875,279.7380577,249.4817281,"DBT"
"1318","Gls",2544.444071,2514.450946,1382.349091,1260.807622,2657.885522,2572.490091,1604.426765,1418.114753,"DBT"
"1319","Pwp2",1749.053,1658.003,871.8802,921.7095,1422.801205,1466.971787,735.205325,818.0566744,"DBT"
"1322","Eif1a",8244.094501,7701.264413,4858.18679,4522.683995,8057.629427,8264.282644,5483.295519,4965.83377,"DBT"
"1323","Fam135a",959.8097374,932.8617599,445.069409,394.2389156,950.4324166,1010.136279,538.4438129,550.0275769,"DBT"
"1324","Gemin5",1961.82246,1949.957779,1073.124915,1041.590889,1677.035571,1743.342096,1040.238193,1035.73821,"DBT"
"1325","Zfp131",1473.731,1522.038,815.5809,750.151,1333.518885,1348.473823,1020.755036,999.2265126,"DBT"
"1326","Ptpn21",1447.285,1452.037,726.2186,718.7644,1476.396575,1488.285761,931.2745102,968.7692887,"DBT"
"1328","Xpo5",4095.805,4062.587,2482.028,2425.767,3725.081176,3647.55556,2807.62433,2654.725853,"DBT"
"1329","Dusp8",446.0341444,519.90649,106.633009,125.4893692,409.6398785,432.0954054,135.8463578,174.7325841,"DBT"
"1330","Wipi2",2985.38,3223.906,1749.894,1776.204,3158.233972,2999.340316,2003.522506,2155.013831,"DBT"
"1331","Grwd1",1548.643,1469.228,769.8347,770.8304,1209.18235,1307.381724,697.5244156,760.6632849,"DBT"
"1332","Rap1gap2",693.4442,831.3015,213.1049,199.6872,912.8578429,875.7577346,478.1046834,441.6730727,"DBT"
"1335","Kctd11",2149.289,2183.04,1159.514,1225.212,2300.446049,2280.820883,1219.745178,1010.922481,"DBT"
"1344","Pcdhga8",1083.061,1032.92,451.2153,435.9953,1099.375741,1193.394317,524.1298724,533.7240519,"DBT"
"1346","Atp11a",821.1891131,933.3800766,413.3123104,413.415042,968.3385076,955.9593399,498.4171471,507.5800253,"DBT"
"1354","Arhgap35",5940.040524,5776.321585,3765.658444,3455.88892,5946.24421,5589.02871,5097.520259,4627.146007,"DBT"
"1363","Lrp2",292.5624,275.6813,77.95678,72.68178,279.6751652,291.3126301,75.45385458,63.00625305,"DBT"
"1365","Rin1",191.0987,200.0308,35.65607,37.35202,151.620461,173.0113222,26.05970352,36.77810013,"DBT"
"1370","Pla2g4a",2063.997,2030.035,916.8336,1052.663,1875.615151,1921.256411,764.8017743,677.0270306,"DBT"
"1374","Car6",316.2818016,238.4866506,0.792637298,2.159236699,257.8109561,284.5217604,7.722071045,5.742696531,"DBT"
"1376","Tmem47",846.8307,805.7148,339.5145,300.9086,884.0252317,890.8674814,790.9220068,632.5888845,"DBT"
"1381","Pkp2",446.6935,411.0189,133.5688,134.2544,434.7691529,433.3161251,210.7804811,153.0392406,"DBT"
"1383","Cdca4",2572.166166,2362.410144,1392.19197,1412.098051,2095.654087,2024.043663,1362.403532,1445.307993,"DBT"
"1386","Plxna1",1511.06,1681.687,730.0748,799.5507,1640.497534,1615.244812,706.2918536,624.0491519,"DBT"
"1389","Tsku",3433.375,3425.11,1512.127,1547.554,3748.473155,3270.994289,1724.983695,1499.581247,"DBT"
"1390","Fscn1",4142.33354,4087.851288,2468.138439,2486.551283,3770.281307,3604.135459,3263.658021,3085.249539,"DBT"
"1391","Lats1",2106.87,2007.586,1186.001,1191.726,2027.47833,1924.26786,1550.541638,1493.398166,"DBT"
"1397","Utrn",1855.429,2061.147,1033.704,1089.047,2022.315437,2011.323399,1505.263925,1510.973107,"DBT"
