ID,D0PF1,D0PF2,D7PF1,D7PF2
mmu-miR-5134-5p,24,11,25,14
mmu-miR-5134-3p,4,5,5,5
mmu-miR-5133,0,1,0,0
mmu-miR-5132-5p,16,9,19,6
mmu-miR-5132-3p,0,2,0,0
mmu-miR-5130,1,5,7,5
mmu-miR-5129-5p,17,9,11,10
mmu-miR-5129-3p,16,9,19,7
mmu-miR-5128,37,47,9,7
mmu-miR-5126,6,15,34,19
mmu-miR-5125,21,9,21,13
mmu-miR-5124b,0,0,0,0
mmu-miR-5123,51,27,36,23
mmu-miR-5122,20,16,23,6
mmu-miR-5121,112,106,134,87
mmu-miR-5120,0,1,0,0
mmu-miR-5119,0,1,1,0
mmu-miR-5116,11,4,30,27
mmu-miR-5114,1,5,102,94
mmu-miR-5113,15,18,53,42
mmu-miR-5112,2,0,0,0
mmu-miR-511-5p,61,40,1006,417
mmu-miR-511-3p,287,91,6677,2506
