"","target_id","D0_PF_1","D0_PF_2","D7_PF_1","D7_PF_2","D0_SAG_1","D0_SAG_2","D7_SAG_1","D7_SAG_2","Trend"
"540","Ptpn18",34.1745,45.11905,1323.323,1752.845,15.2793569,43.43096947,161.6090518,358.592278,"UBT"
"541","Irgm2",288.8368,250.4029,2618.588,2040.918,327.8941738,252.7150702,2885.784695,2263.318329,"UBT"
"542","Epyc",269.78658,201.5772358,4281.47286,3390.392529,111.5989854,116.2277086,6197.387761,5951.756621,"UBT"
"543","Mef2c",103.2311,100.1713,624.5064,764.1281,52.8394959,59.46614554,309.5998204,270.8694054,"UBT"
"544","Rgs18",8.987941,10.54222,347.6198,489.0494,1.954397259,0,58.7325224,93.94457293,"UBT"
"545","Marcks",10924.84,10203.67,43022.19,36538.43,10554.7224,10686.6027,45239.77417,37117.60632,"UBT"
"547","Gaa",1471.455117,1632.638945,3387.323919,3460.321147,1766.649126,1743.285162,3371.200275,3040.566822,"UBT"
"548","Pycard",94.32577,116.7812,3134.433,3901.724,68.96701202,81.31708998,900.4500246,1235.11822,"UBT"
"552","Helb",455.3036,404.654,1306.128,1267.006,304.6646031,329.0555905,693.3508548,764.2103249,"UBT"
"553","Fcgr1",45.80038766,70.57577596,1387.705,1402.000094,11.6743819,15.23799191,361.8169468,438.2021467,"UBT"
"554","Phf11d",103.0504,92.59812,1283.181,943.8265,83.16532355,83.9703202,1346.854966,1030.701121,"UBT"
"555","Card9",54.25594096,63.96704428,926.8752653,1191.373706,26.84647881,35.30714241,141.8591284,228.6790651,"UBT"
"556","Sash3",44.04091,50.79432,1130.047,1740.893,8.794787667,12.94114998,146.831306,304.0004158,"UBT"
"557","Znfx1",1128.036,1106.842,2681.24,2700.599,1191.44863,1165.889185,1981.361659,2014.974713,"UBT"
"558","Deptor",33.43340579,32.26670263,261.2296361,288.896116,40.93006342,38.19281348,128.6048158,108.6000576,"UBT"
"560","Nek6",988.488,895.383,2412.737,2365.583,857.2334105,788.940709,1589.06897,1387.513098,"UBT"
"562","Slc7a2",580.0582,495.0287,1867.731,1782.729,350.807288,338.0009734,1101.083444,632.0537491,"UBT"
"563","Acaa1a",744.5225166,767.2814411,1893.930507,2155.060454,757.4249537,801.8035116,1619.828069,1846.046458,"UBT"
"564","Rgs2",27.92996,27.04886,325.9192,372.0337,16.6145478,17.09880416,160.155452,189.1270934,"UBT"
"565","Kcnk13",21.49396,30.70021,714.366,975.5398,8.816879709,4.633448645,113.3551451,199.4507767,"UBT"
"567","Sorbs2",86.0986,95.03561,1949.846,1336.433,329.3157583,351.1412202,4793.111393,5092.775469,"UBT"
"569","Gnptg",732.0726,695.4694,1880.551,1879.085,716.8016928,692.452831,1601.808865,1574.803201,"UBT"
"571","Plekho1",367.0459,388.3025,2141.09,2738.639,294.0616016,276.4823869,825.841184,925.9249051,"UBT"
"572","9930111J21Rik2",91.96332917,75.30264186,584.8492667,709.9552561,35.23823873,40.56318968,107.6349271,124.0899994,"UBT"
"573","Kcp",54.26379,39.65058,591.9676,706.0261,55.8205854,62.79827962,460.238113,415.5045313,"UBT"
"574","Col6a2",36534.19453,36476.08927,69637.27253,67087.90153,34795.84152,33290.74903,91218.71858,88909.06545,"UBT"
"575","Qdpr",975.9646,952.5552,2173.944,2441.499,907.0942118,880.7868638,1621.143276,1783.030925,"UBT"
"576","Slamf7",4.493971,4.535267,233.5294,405.9723,4.282075305,9.073588877,31.70811892,65.94497166,"UBT"
"577","Cybb",25.41429669,37.2836532,915.9619034,1234.013096,17.18259357,13.30204909,191.8845952,345.7677111,"UBT"
"579","Hacd2",780.1533,745.6223,1939.65,1737.817,623.4527257,633.1919814,1710.584715,1669.891173,"UBT"
"581","Hhex",16.70287,21.64762,383.9579,545.3545,6.893114441,2.633946732,72.90919902,100.5870278,"UBT"
"582","Ifi30",1403.916,1569.832,3846.464,4154.357,1509.771883,1467.896155,2998.505027,3053.726399,"UBT"
"584","Snx20",94.63073,113.318,1438.508,2019.552,46.33700361,55.26422902,303.140424,409.0737763,"UBT"
"585","Smarca2",643.802,602.1374,1734.765,1554.706,644.5792457,630.3039015,1857.140068,1710.868654,"UBT"
"586","Hexa",4217.11,4418.1,24707.02,31808.67,4320.141953,4115.195266,12986.14327,13892.12664,"UBT"
"588","Lamp2",13159.69,12555.21,23635.84,23316.79,13778.68026,13526.66871,20406.51735,18334.58436,"UBT"
"590","Pygb",865.0666,926.3409,1990.289,1873.609,1021.933913,1018.586841,2314.387554,2100.103913,"UBT"
"592","Nudt16l1",740.6064,760.9564,1717.717,1870.076,694.7882257,666.4692242,1395.946202,1416.557493,"UBT"
"595","Cpq",1045.297567,1020.67834,3480.727123,2981.458526,1204.88591,1128.653152,3780.906129,3758.838474,"UBT"
"597","Ms4a7",206.6889,280.2568,8131.553,12318.23,118.0090944,91.4829324,1214.771135,2188.945285,"UBT"
"598","Scg2",6.338353,4.019734,1271.938,1017.029,7.173201712,7.067163674,424.052628,143.9825728,"UBT"
"599","Abca1",927.32217,789.2238271,5162.674496,6354.994797,745.5027543,708.6445627,1606.919286,1420.380143,"UBT"
"600","Mamstr",52.87785,67.57484,569.8781,485.0889,72.54527317,75.70798029,758.7675656,681.1216763,"UBT"
"601","Gabarap",5342.968003,5552.220372,9897.054019,10196.87971,5879.670721,5641.048416,10292.61856,10993.54733,"UBT"
"602","BC026585",88.91499503,87.6490438,587.820142,529.256631,70.01775271,71.57467558,509.8329083,609.1179539,"UBT"
