ID,D0SAG1,D0SAG2,D7SAG1,D7SAG2
mmu-miR-6915-5p,0,0,1,0
mmu-miR-6915-3p,0,2,1,0
mmu-miR-6914-5p,0,1,1,0
mmu-miR-6913-5p,0,0,0,1
mmu-miR-6913-3p,0,0,3,0
mmu-miR-6912-5p,0,4,1,0
mmu-miR-6912-3p,0,7,0,1
mmu-miR-6911-5p,0,0,1,0
mmu-miR-6911-3p,2,10,10,3
mmu-miR-6910-5p,0,0,0,0
mmu-miR-6910-3p,5,2,4,4
mmu-miR-6909-3p,0,0,0,0
mmu-miR-6908-5p,0,0,0,0
mmu-miR-6907-3p,0,0,0,0
mmu-miR-6906-5p,2,0,0,0
mmu-miR-6905-5p,0,2,1,0
mmu-miR-6904-5p,1,0,2,1
mmu-miR-6903-5p,2,3,2,1
mmu-miR-6902-5p,3,4,3,4
mmu-miR-6902-3p,0,0,0,2
mmu-miR-6901-5p,41,31,41,48
mmu-miR-6901-3p,1,1,3,1
mmu-miR-6900-5p,12,5,3,0
mmu-miR-6900-3p,0,4,1,1
mmu-miR-690,68,65,79,91
mmu-miR-6899-5p,0,1,0,0
mmu-miR-6899-3p,3,9,2,2
mmu-miR-6898-5p,4,4,3,2
mmu-miR-6898-3p,0,0,1,0
mmu-miR-6897-5p,1,3,3,2
mmu-miR-6896-5p,3,6,8,2
mmu-miR-6896-3p,2,1,0,0
mmu-miR-688,3,0,5,2
mmu-miR-682,0,1,1,0
mmu-miR-679-5p,1213,962,1139,828
mmu-miR-679-3p,107,62,83,59
mmu-miR-677-5p,308,255,272,206
mmu-miR-677-3p,47,38,20,17
mmu-miR-676-5p,1049,829,853,627
mmu-miR-676-3p,2654,2775,2987,2260
mmu-miR-675-5p,90,67,131,127
mmu-miR-675-3p,224,184,409,290
mmu-miR-674-5p,2563,2045,3039,2350
mmu-miR-674-3p,12122,8309,7939,7189
mmu-miR-673-5p,1676,1401,2986,2409
mmu-miR-673-3p,451,361,431,396
mmu-miR-672-5p,18,53,96,65
mmu-miR-672-3p,0,2,0,5
mmu-miR-6715-5p,0,0,0,0
mmu-miR-671-5p,1784,1214,1701,1443
mmu-miR-671-3p,1184,731,881,803
mmu-miR-670-5p,2,4,0,1
mmu-miR-670-3p,0,4,0,1
mmu-miR-669p-5p,251,542,857,403
mmu-miR-669p-3p,22,31,26,13
mmu-miR-669o-5p,42,119,192,84
mmu-miR-669o-3p,939,1545,1868,1183
mmu-miR-669m-5p,13,14,21,26
mmu-miR-669m-3p,9,8,13,8
mmu-miR-669l-5p,58,105,159,75
mmu-miR-669l-3p,4,12,13,5
mmu-miR-669k-5p,4,5,5,1
mmu-miR-669k-3p,0,0,0,2
mmu-miR-669i,4,2,3,1
mmu-miR-669h-5p,7,7,11,6
mmu-miR-669h-3p,2,5,3,2
mmu-miR-669g,1,1,0,0
mmu-miR-669f-5p,48,55,83,58
mmu-miR-669f-3p,108,145,210,153
mmu-miR-669e-5p,41,81,114,52
mmu-miR-669e-3p,12,19,13,9
mmu-miR-669d-5p,381,367,397,298
mmu-miR-669d-3p,6,7,14,6
mmu-miR-669d-2-3p,6,10,14,6
mmu-miR-669c-5p,179,707,1336,436
